,sku,pack,size (GM),brand,price,POS_exposed w-1,volume_on_promo w-1,sales w-1,scope,target
WE 22 December 2018,2689,SINGLE,395.41,BRAND1,1.08,7.0,66.17212843429327,15105.0,0,16130.0
WE 29 December 2018,2689,SINGLE,395.41,BRAND1,1.08,5.0,35.03719776813391,16130.0,0,9695.0
WE 05 January 2019,2689,SINGLE,395.41,BRAND1,1.08,5.0,45.48736462093863,9695.0,0,14363.0
WE 12 January 2019,2689,SINGLE,395.41,BRAND1,1.08,7.0,30.724778945902663,14363.0,0,15506.0
WE 19 January 2019,2689,SINGLE,395.41,BRAND1,1.08,8.0,39.91422675093512,15506.0,0,15308.0
WE 26 January 2019,2689,SINGLE,395.41,BRAND1,1.27,5.0,33.77580350143716,15308.0,0,10806.0
WE 02 February 2019,2689,SINGLE,395.41,BRAND1,1.5,0.0,2.914121784193966,10806.0,0,7484.0
WE 09 February 2019,2689,SINGLE,395.41,BRAND1,1.49,0.0,3.487439871726349,7484.0,0,7349.0
WE 16 February 2019,2689,SINGLE,395.41,BRAND1,1.09,0.0,2.6928833854946252,7349.0,0,14710.0
WE 23 February 2019,2689,SINGLE,395.41,BRAND1,1.0,6.0,99.93609789259008,14710.0,0,19660.0
WE 02 March 2019,2689,SINGLE,395.41,BRAND1,1.0,6.0,99.9059003051882,19660.0,0,20915.0
WE 09 March 2019,2689,SINGLE,395.41,BRAND1,1.04,2.0,100.0,20915.0,0,17754.0
WE 16 March 2019,2689,SINGLE,395.41,BRAND1,1.08,6.0,100.0,17754.0,0,15952.0
WE 23 March 2019,2689,SINGLE,395.41,BRAND1,1.08,0.0,99.4527331995988,15952.0,0,16020.0
WE 30 March 2019,2689,SINGLE,395.41,BRAND1,1.08,0.0,57.55555555555555,16020.0,0,16367.0
WE 06 April 2019,2689,SINGLE,395.41,BRAND1,1.08,2.0,39.35174436365858,16367.0,0,15718.0
WE 13 April 2019,2689,SINGLE,395.41,BRAND1,1.08,5.0,24.77859778597786,15718.0,0,15408.0
WE 20 April 2019,2689,SINGLE,395.41,BRAND1,1.08,0.0,23.63577362409138,15408.0,0,15225.0
WE 27 April 2019,2689,SINGLE,395.41,BRAND1,1.08,0.0,19.376683087027914,15225.0,0,14040.0
WE 04 May 2019,2689,SINGLE,395.41,BRAND1,1.08,5.0,18.06125356125356,14040.0,0,15520.0
WE 11 May 2019,2689,SINGLE,395.41,BRAND1,1.08,5.0,23.04123711340206,15520.0,0,16403.0
WE 18 May 2019,2689,SINGLE,395.41,BRAND1,1.08,5.0,13.862098396634764,16403.0,0,18501.0
WE 25 May 2019,2689,SINGLE,395.41,BRAND1,1.09,0.0,16.557483379276796,18501.0,0,18255.0
WE 01 June 2019,2689,SINGLE,395.41,BRAND1,1.27,2.0,30.07997808819502,18255.0,0,11619.0
WE 08 June 2019,2689,SINGLE,395.41,BRAND1,1.5,0.0,0.8004131164471986,11619.0,0,8426.0
WE 15 June 2019,2689,SINGLE,395.41,BRAND1,1.5,0.0,0.0,8426.0,0,8246.0
WE 22 June 2019,2689,SINGLE,395.41,BRAND1,1.11,0.0,0.8258549599805965,8246.0,0,13702.0
WE 10 December 2016,1027,SINGLE,114.23,BRAND2,0.52,,,,1,54158.0
WE 17 December 2016,1027,SINGLE,114.23,BRAND2,0.52,0.0,23.395435577384692,54158.0,1,48676.0
WE 24 December 2016,1027,SINGLE,114.23,BRAND2,0.52,0.0,19.005464705398968,48676.0,1,45389.0
WE 31 December 2016,1027,SINGLE,114.23,BRAND2,0.51,0.0,21.659873537641282,45389.0,1,31329.0
WE 07 January 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,21.942289891155163,31329.0,1,52469.0
WE 14 January 2017,1027,SINGLE,114.23,BRAND2,0.51,0.0,27.78917074844194,52469.0,1,58264.0
WE 21 January 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,27.86248798572017,58264.0,1,55921.0
WE 28 January 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,21.666458039019332,55921.0,1,53309.0
WE 04 February 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,11.526008741488303,53309.0,1,53464.0
WE 11 February 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,23.385268591949725,53464.0,1,55698.0
WE 18 February 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,17.66311178139251,55698.0,1,55967.0
WE 25 February 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,15.567745278467667,55967.0,1,58890.0
WE 04 March 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,16.70928850399049,58890.0,1,54860.0
WE 11 March 2017,1027,SINGLE,114.23,BRAND2,0.52,1.0,19.689938024061245,54860.0,1,53213.0
WE 18 March 2017,1027,SINGLE,114.23,BRAND2,0.52,0.0,21.647905586980627,53213.0,1,52862.0
WE 25 March 2017,1027,SINGLE,114.23,BRAND2,0.4,0.0,20.8609208883508,52862.0,1,102409.0
WE 01 April 2017,1027,SINGLE,114.23,BRAND2,0.36,44.0,95.30959193039675,102409.0,1,129339.0
WE 08 April 2017,1027,SINGLE,114.23,BRAND2,0.36,36.0,97.0506189161815,129339.0,1,127643.0
WE 15 April 2017,1027,SINGLE,114.23,BRAND2,0.42,27.0,98.65155159311517,127643.0,1,77904.0
WE 22 April 2017,1027,SINGLE,114.23,BRAND2,0.53,0.0,96.21547032244814,77904.0,1,43007.0
WE 29 April 2017,1027,SINGLE,114.23,BRAND2,0.53,0.0,32.76071337224173,43007.0,1,49780.0
WE 06 May 2017,1027,SINGLE,114.23,BRAND2,0.53,0.0,25.12575331458417,49780.0,1,59119.0
WE 13 May 2017,1027,SINGLE,114.23,BRAND2,0.53,0.0,26.804580591687955,59119.0,1,69532.0
WE 20 May 2017,1027,SINGLE,114.23,BRAND2,0.53,0.0,25.78884542368981,69532.0,1,71016.0
WE 27 May 2017,1027,SINGLE,114.23,BRAND2,0.53,0.0,28.22701926326462,71016.0,1,60688.0
WE 03 June 2017,1027,SINGLE,114.23,BRAND2,0.53,0.0,29.67835486422357,60688.0,1,50492.0
WE 10 June 2017,1027,SINGLE,114.23,BRAND2,0.53,0.0,12.6073437376218,50492.0,1,50674.0
WE 17 June 2017,1027,SINGLE,114.23,BRAND2,0.55,0.0,21.643841023009827,50674.0,1,58909.0
WE 24 June 2017,1027,SINGLE,114.23,BRAND2,0.55,1.0,16.162046546368128,58909.0,1,64477.0
WE 01 July 2017,1027,SINGLE,114.23,BRAND2,0.55,0.0,24.339687020177738,64477.0,1,70088.0
WE 08 July 2017,1027,SINGLE,114.23,BRAND2,0.47,1.0,24.95691131149412,70088.0,1,92538.0
WE 15 July 2017,1027,SINGLE,114.23,BRAND2,0.39,26.0,90.25092394475782,92538.0,1,118224.0
WE 22 July 2017,1027,SINGLE,114.23,BRAND2,0.39,21.0,97.62061848694005,118224.0,1,114848.0
WE 29 July 2017,1027,SINGLE,114.23,BRAND2,0.35,10.0,97.88677208135971,114848.0,1,145677.0
WE 05 August 2017,1027,SINGLE,114.23,BRAND2,0.33,32.0,99.12862016653281,145677.0,1,178221.0
WE 12 August 2017,1027,SINGLE,114.23,BRAND2,0.33,29.0,98.88958091358482,178221.0,1,158190.0
WE 19 August 2017,1027,SINGLE,114.23,BRAND2,0.39,19.0,99.98779948163602,158190.0,1,88371.0
WE 26 August 2017,1027,SINGLE,114.23,BRAND2,0.55,0.0,59.20471647938804,88371.0,1,43115.0
WE 02 September 2017,1027,SINGLE,114.23,BRAND2,0.55,2.0,40.5262669604546,43115.0,1,49351.0
WE 09 September 2017,1027,SINGLE,114.23,BRAND2,0.37,0.0,35.49613989584811,49351.0,1,126343.0
WE 16 September 2017,1027,SINGLE,114.23,BRAND2,0.33,23.0,98.52473029768171,126343.0,1,182622.0
WE 23 September 2017,1027,SINGLE,114.23,BRAND2,0.33,16.0,99.34361686981853,182622.0,1,180932.0
WE 30 September 2017,1027,SINGLE,114.23,BRAND2,0.39,18.0,99.08462847920765,180932.0,1,116022.0
WE 07 October 2017,1027,SINGLE,114.23,BRAND2,0.54,7.0,98.46313630173587,116022.0,1,61864.0
WE 14 October 2017,1027,SINGLE,114.23,BRAND2,0.54,0.0,41.02596017069701,61864.0,1,60156.0
WE 21 October 2017,1027,SINGLE,114.23,BRAND2,0.54,1.0,34.23665137309661,60156.0,1,68852.0
WE 28 October 2017,1027,SINGLE,114.23,BRAND2,0.54,0.0,46.287834776041365,68852.0,1,79876.0
WE 04 November 2017,1027,SINGLE,114.23,BRAND2,0.54,2.0,41.277229706044366,79876.0,1,84140.0
WE 11 November 2017,1027,SINGLE,114.23,BRAND2,0.55,1.0,45.822914190634656,84140.0,1,74326.0
WE 18 November 2017,1027,SINGLE,114.23,BRAND2,0.55,0.0,41.38094341145763,74326.0,1,66400.0
WE 25 November 2017,1027,SINGLE,114.23,BRAND2,0.55,1.0,45.459487951807226,66400.0,1,64669.0
WE 02 December 2017,1027,SINGLE,114.23,BRAND2,0.55,0.0,45.18300886050503,64669.0,1,70157.0
WE 09 December 2017,1027,SINGLE,114.23,BRAND2,0.54,2.0,32.838063201106095,70157.0,1,75334.0
WE 16 December 2017,1027,SINGLE,114.23,BRAND2,0.55,3.0,36.19348501340696,75334.0,1,69854.0
WE 23 December 2017,1027,SINGLE,114.23,BRAND2,0.55,1.0,30.183811950639907,69854.0,1,71232.0
WE 30 December 2017,1027,SINGLE,114.23,BRAND2,0.55,2.0,30.32990790655885,71232.0,1,42047.0
WE 06 January 2018,1027,SINGLE,114.23,BRAND2,0.55,2.0,29.844935429400433,42047.0,1,63909.0
WE 13 January 2018,1027,SINGLE,114.23,BRAND2,0.55,2.0,34.8972758140481,63909.0,1,60866.0
WE 20 January 2018,1027,SINGLE,114.23,BRAND2,0.54,0.0,40.264022607038406,60866.0,1,60929.0
WE 27 January 2018,1027,SINGLE,114.23,BRAND2,0.53,0.0,35.96661688194456,60929.0,1,61811.0
WE 03 February 2018,1027,SINGLE,114.23,BRAND2,0.37,0.0,48.57355486887447,61811.0,1,141144.0
WE 10 February 2018,1027,SINGLE,114.23,BRAND2,0.32,23.0,99.70484044663606,141144.0,1,189314.0
WE 17 February 2018,1027,SINGLE,114.23,BRAND2,0.32,22.0,99.66378609083321,189314.0,1,165286.0
WE 24 February 2018,1027,SINGLE,114.23,BRAND2,0.39,15.0,99.70644821702986,165286.0,1,108807.0
WE 03 March 2018,1027,SINGLE,114.23,BRAND2,0.54,0.0,97.76870973374875,108807.0,1,62777.0
WE 10 March 2018,1027,SINGLE,114.23,BRAND2,0.54,0.0,21.57748857065486,62777.0,1,66502.0
WE 17 March 2018,1027,SINGLE,114.23,BRAND2,0.36,0.0,30.898469218970853,66502.0,1,151464.0
WE 24 March 2018,1027,SINGLE,114.23,BRAND2,0.32,21.0,98.81813500237679,151464.0,1,199812.0
WE 31 March 2018,1027,SINGLE,114.23,BRAND2,0.31,40.0,98.43713090304888,199812.0,1,196774.0
WE 07 April 2018,1027,SINGLE,114.23,BRAND2,0.41,39.0,98.7821053594479,196774.0,1,87731.0
WE 14 April 2018,1027,SINGLE,114.23,BRAND2,0.53,8.0,95.4563381244942,87731.0,1,64643.0
WE 21 April 2018,1027,SINGLE,114.23,BRAND2,0.53,0.0,37.88530854075461,64643.0,1,68544.0
WE 28 April 2018,1027,SINGLE,114.23,BRAND2,0.55,2.0,41.76105859010271,68544.0,1,67730.0
WE 05 May 2018,1027,SINGLE,114.23,BRAND2,0.56,0.0,28.119297209508343,67730.0,1,62855.0
WE 12 May 2018,1027,SINGLE,114.23,BRAND2,0.57,0.0,34.35001193222496,62855.0,1,58820.0
WE 19 May 2018,1027,SINGLE,114.23,BRAND2,0.56,0.0,27.360761645698744,58820.0,1,68940.0
WE 26 May 2018,1027,SINGLE,114.23,BRAND2,0.55,1.0,43.33014215259646,68940.0,1,84114.0
WE 02 June 2018,1027,SINGLE,114.23,BRAND2,0.55,0.0,42.10369260765152,84114.0,1,85123.0
WE 09 June 2018,1027,SINGLE,114.23,BRAND2,0.55,10.0,29.384302714894915,85123.0,1,80569.0
WE 16 June 2018,1027,SINGLE,114.23,BRAND2,0.56,2.0,33.53051421762713,80569.0,1,74486.0
WE 23 June 2018,1027,SINGLE,114.23,BRAND2,0.56,1.0,46.65816395027254,74486.0,1,70641.0
WE 30 June 2018,1027,SINGLE,114.23,BRAND2,0.56,2.0,36.80893532084767,70641.0,1,76364.0
WE 07 July 2018,1027,SINGLE,114.23,BRAND2,0.56,3.0,32.245298831910326,76364.0,1,77275.0
WE 14 July 2018,1027,SINGLE,114.23,BRAND2,0.56,2.0,27.585247492720804,77275.0,1,67925.0
WE 21 July 2018,1027,SINGLE,114.23,BRAND2,0.38,2.0,31.586455649613544,67925.0,1,116768.0
WE 28 July 2018,1027,SINGLE,114.23,BRAND2,0.32,7.0,96.41322965195944,116768.0,1,159908.0
WE 04 August 2018,1027,SINGLE,114.23,BRAND2,0.32,20.0,98.86841183680616,159908.0,1,161223.0
WE 11 August 2018,1027,SINGLE,114.23,BRAND2,0.39,23.0,99.94920079641243,161223.0,1,96351.0
WE 18 August 2018,1027,SINGLE,114.23,BRAND2,0.56,14.0,99.83663895548568,96351.0,1,51862.0
WE 25 August 2018,1027,SINGLE,114.23,BRAND2,0.56,5.0,38.86005167560063,51862.0,1,53069.0
WE 01 September 2018,1027,SINGLE,114.23,BRAND2,0.56,0.0,18.410936705044374,53069.0,1,64121.0
WE 08 September 2018,1027,SINGLE,114.23,BRAND2,0.56,2.0,26.636827248483335,64121.0,1,79208.0
WE 15 September 2018,1027,SINGLE,114.23,BRAND2,0.56,2.0,24.898495101504896,79208.0,1,76477.0
WE 22 September 2018,1027,SINGLE,114.23,BRAND2,0.56,4.0,29.416948886593357,76477.0,1,68021.0
WE 29 September 2018,1027,SINGLE,114.23,BRAND2,0.56,2.0,27.673512591699623,68021.0,1,60277.0
WE 06 October 2018,1027,SINGLE,114.23,BRAND2,0.56,6.0,31.145378834381273,60277.0,1,59299.0
WE 13 October 2018,1027,SINGLE,114.23,BRAND2,0.56,4.0,41.20457343294154,59299.0,1,60916.0
WE 20 October 2018,1027,SINGLE,114.23,BRAND2,0.56,4.0,37.629030139864724,60916.0,1,65767.0
WE 27 October 2018,1027,SINGLE,114.23,BRAND2,0.56,5.0,33.570331625283195,65767.0,1,65626.0
WE 03 November 2018,1027,SINGLE,114.23,BRAND2,0.38,4.0,27.527656721421383,65626.0,1,129689.0
WE 10 November 2018,1027,SINGLE,114.23,BRAND2,0.32,13.0,96.7129054892859,129689.0,1,188841.0
WE 17 November 2018,1027,SINGLE,114.23,BRAND2,0.32,15.0,98.75895594706657,188841.0,1,184511.0
WE 24 November 2018,1027,SINGLE,114.23,BRAND2,0.39,18.0,100.0,184511.0,1,112905.0
WE 01 December 2018,1027,SINGLE,114.23,BRAND2,0.56,3.0,99.33315619325982,112905.0,1,61605.0
WE 08 December 2018,1027,SINGLE,114.23,BRAND2,0.56,0.0,30.734355977599225,61605.0,1,60360.0
WE 15 December 2018,1027,SINGLE,114.23,BRAND2,0.56,0.0,25.924453280318094,60360.0,1,61844.0
WE 22 December 2018,1027,SINGLE,114.23,BRAND2,0.56,2.0,20.25548153418278,61844.0,1,69558.0
WE 29 December 2018,1027,SINGLE,114.23,BRAND2,0.56,0.0,28.17059144886282,69558.0,1,32972.0
WE 05 January 2019,1027,SINGLE,114.23,BRAND2,0.56,0.0,24.28454446196773,32972.0,1,54996.0
WE 12 January 2019,1027,SINGLE,114.23,BRAND2,0.56,0.0,15.485853516619391,54996.0,1,51041.0
WE 19 January 2019,1027,SINGLE,114.23,BRAND2,0.56,1.0,34.33592602025823,51041.0,1,52750.0
